poll_id,cycle,state,pollster,sponsors,fte_grade,sample_size,population,population_full,methodology,seat_number,seat_name,start_date,end_date,election_date,days before election,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
56603,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,Live Phone,1,District 1,10/26/2018,10/29/2018,11/6/2018,8.00,,FALSE,,,FALSE,FALSE,11/1/2018 20:21,general,167,Galvin,12382,Alyse S. Galvin,DEM,49
56603,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,Live Phone,1,District 1,10/26/2018,10/29/2018,11/6/2018,8.00,,FALSE,,,FALSE,FALSE,11/1/2018 20:21,general,167,Young,11440,Don Young,REP,48
56289,2018,Alaska,Lake Research Partners,,A/B,500,lv,lv,,1,District 1,10/13/2018,10/16/2018,11/6/2018,21.00,Alyse S. Galvin,TRUE,DEM,,FALSE,FALSE,10/17/2018 23:24,general,167,Galvin,12382,Alyse S. Galvin,DEM,44
56289,2018,Alaska,Lake Research Partners,,A/B,500,lv,lv,,1,District 1,10/13/2018,10/16/2018,11/6/2018,21.00,Alyse S. Galvin,TRUE,DEM,,FALSE,FALSE,10/17/2018 23:24,general,167,Young,11440,Don Young,REP,48
56250,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,,1,District 1,10/12/2018,10/14/2018,11/6/2018,23.00,,FALSE,,,FALSE,FALSE,10/17/2018 19:06,general,167,Galvin,12382,Alyse S. Galvin,DEM,47.2
56250,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,,1,District 1,10/12/2018,10/14/2018,11/6/2018,23.00,,FALSE,,,FALSE,FALSE,10/17/2018 19:06,general,167,Young,11440,Don Young,REP,49.2
56186,2018,Alaska,Public Policy Polling,The Great Slate,A-,645,v,v,,1,District 1,10/11/2018,10/12/2018,11/6/2018,25.00,,FALSE,DEM,,FALSE,FALSE,10/12/2018 18:57,general,167,Galvin,12382,Alyse S. Galvin,DEM,43
56186,2018,Alaska,Public Policy Polling,The Great Slate,A-,645,v,v,,1,District 1,10/11/2018,10/12/2018,11/6/2018,25.00,,FALSE,DEM,,FALSE,FALSE,10/12/2018 18:57,general,167,Young,11440,Don Young,REP,46
55923,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,Live Phone,1,District 1,10/1/2018,10/6/2018,11/6/2018,31.00,,FALSE,,,FALSE,FALSE,10/9/2018 17:38,general,167,Galvin,12382,Alyse S. Galvin,DEM,46
55923,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,Live Phone,1,District 1,10/1/2018,10/6/2018,11/6/2018,31.00,,FALSE,,,FALSE,FALSE,10/9/2018 17:38,general,167,Young,11440,Don Young,REP,49.7
56122,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,Live Phone,1,District 1,9/21/2018,9/25/2018,11/6/2018,42.00,,FALSE,,,FALSE,FALSE,10/9/2018 21:28,general,167,Galvin,12382,Alyse S. Galvin,DEM,42.5
56122,2018,Alaska,Alaska Survey Research,,B/C,500,lv,lv,Live Phone,1,District 1,9/21/2018,9/25/2018,11/6/2018,42.00,,FALSE,,,FALSE,FALSE,10/9/2018 21:28,general,167,Young,11440,Don Young,REP,53.8
53602,2018,Alaska,Lake Research Partners,,A/B,540,lv,lv,Live Phone,1,District 1,6/7/2018,6/12/2018,11/6/2018,147.00,Alyse S. Galvin,TRUE,DEM,,FALSE,FALSE,8/13/2018 21:11,general,167,Young,11440,Don Young,REP,40
53602,2018,Alaska,Lake Research Partners,,A/B,540,lv,lv,Live Phone,1,District 1,6/7/2018,6/12/2018,11/6/2018,147.00,Alyse S. Galvin,TRUE,DEM,,FALSE,FALSE,8/13/2018 21:11,general,167,Galvin,12382,Alyse S. Galvin,DEM,36
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,422,lv,lv,,1,District 1,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,175,Desai,11454,Chintan Desai,DEM,22
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,422,lv,lv,,1,District 1,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,175,Crawford,11455,Rick Crawford,REP,57
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,422,lv,lv,,1,District 1,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,175,Presley,12155,Elvis Presley,LIB,3
56332,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,590,lv,lv,IVR/Live Phone,2,District 2,10/17/2018,10/18/2018,11/6/2018,19.00,,FALSE,,,FALSE,FALSE,10/21/2018 11:02,general,176,Tucker,11157,Clarke Tucker,DEM,39.5
56332,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,590,lv,lv,IVR/Live Phone,2,District 2,10/17/2018,10/18/2018,11/6/2018,19.00,,FALSE,,,FALSE,FALSE,10/21/2018 11:02,general,176,Hill,11158,French Hill,REP,51.5
56332,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,590,lv,lv,IVR/Live Phone,2,District 2,10/17/2018,10/18/2018,11/6/2018,19.00,,FALSE,,,FALSE,FALSE,10/21/2018 11:02,general,176,Swafford,12156,Joe Swafford,LIB,2
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,428,lv,lv,,2,District 2,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,176,Tucker,11157,Clarke Tucker,DEM,40.5
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,428,lv,lv,,2,District 2,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,176,Hill,11158,French Hill,REP,49.5
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,428,lv,lv,,2,District 2,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,176,Swafford,12156,Joe Swafford,LIB,2
52673,2018,Arkansas,Public Policy Polling,Patriot Majority USA,A-,610,v,v,IVR,2,District 2,4/16/2018,4/17/2018,11/6/2018,203.00,,FALSE,DEM,,FALSE,FALSE,6/26/2018 12:13,general,176,Tucker,11157,Clarke Tucker,DEM,42
52673,2018,Arkansas,Public Policy Polling,Patriot Majority USA,A-,610,v,v,IVR,2,District 2,4/16/2018,4/17/2018,11/6/2018,203.00,,FALSE,DEM,,FALSE,FALSE,6/26/2018 12:13,general,176,Hill,11158,French Hill,REP,47
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,428,lv,lv,,3,District 3,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,177,Mahony,11456,Josh Mahony,DEM,31
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,428,lv,lv,,3,District 3,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,177,Womack,11457,Steve Womack,REP,53
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,428,lv,lv,,3,District 3,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,177,Kalagias,12157,Michael Kalagias,LIB,5
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,423,lv,lv,,4,District 4,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,178,Shamel,11458,Hayden Shamel,DEM,24
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,423,lv,lv,,4,District 4,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,178,Westerman,11459,Bruce Westerman,REP,54
53934,2018,Arkansas,Hendrix College,Talk Business & Politics,B/C,423,lv,lv,,4,District 4,9/5/2018,9/7/2018,11/6/2018,60.00,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,178,Canada,12159,Tom Canada,LIB,5
56745,2018,Arizona,Optimus,,B/C,756,lv,lv,IVR,1,District 1,10/31/2018,11/1/2018,11/6/2018,5.00,,FALSE,,,FALSE,FALSE,11/4/2018 16:22,general,179,O'Halleran,11460,Tom O'Halleran,DEM,47.7
56745,2018,Arizona,Optimus,,B/C,756,lv,lv,IVR,1,District 1,10/31/2018,11/1/2018,11/6/2018,5.00,,FALSE,,,FALSE,FALSE,11/4/2018 16:22,general,179,Rogers,13167,Wendy J. Rogers,REP,45.35
56327,2018,Arizona,American Viewpoint,Arizona Grassroots Advocates,B/C,400,lv,lv,Live Phone,1,District 1,10/16/2018,10/18/2018,11/6/2018,19.00,,FALSE,REP,,FALSE,FALSE,10/20/2018 10:40,general,179,O'Halleran,11460,Tom O'Halleran,DEM,46
56327,2018,Arizona,American Viewpoint,Arizona Grassroots Advocates,B/C,400,lv,lv,Live Phone,1,District 1,10/16/2018,10/18/2018,11/6/2018,19.00,,FALSE,REP,,FALSE,FALSE,10/20/2018 10:40,general,179,Rogers,13167,Wendy J. Rogers,REP,46
56170,2018,Arizona,Go Right Strategies,,,943,lv,lv,IVR,1,District 1,10/9/2018,10/10/2018,11/6/2018,27.00,Wendy J. Rogers,TRUE,REP,,FALSE,FALSE,10/12/2018 1:54,general,179,O'Halleran,11460,Tom O'Halleran,DEM,37.5
