poll_id,cycle,state,HOUSE OR SENATE?,pollster,sponsors,fte_grade,sample_size,population,methodology,seat_number,seat_name,start_date,end_date,election_date,days before election,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct,two-party %,actual two party %,error,cc
56603,2018,Alaska,HOUSE ,Alaska Survey Research,,B/C,500,lv,Live Phone,1,District 1,10/26/2018,10/29/2018,11/6/2018,8,,FALSE,,,FALSE,FALSE,11/1/2018 20:21,general,167,Galvin,12382,Alyse S. Galvin,DEM,49,0.505154639,0.465,-0.040154639,Alaska
56289,2018,Alaska,HOUSE ,Lake Research Partners,,A/B,500,lv,,1,District 1,10/13/2018,10/16/2018,11/6/2018,21,Alyse S. Galvin,TRUE,DEM,,FALSE,FALSE,10/17/2018 23:24,general,167,Galvin,12382,Alyse S. Galvin,DEM,44,0.47826087,0.465,-0.01326087,Alaska
56250,2018,Alaska,HOUSE ,Alaska Survey Research,,B/C,500,lv,,1,District 1,10/12/2018,10/14/2018,11/6/2018,23,,FALSE,,,FALSE,FALSE,10/17/2018 19:06,general,167,Galvin,12382,Alyse S. Galvin,DEM,47.2,0.489626556,0.465,-0.024626556,Alaska
56186,2018,Alaska,HOUSE ,Public Policy Polling,The Great Slate,A-,645,v,,1,District 1,10/11/2018,10/12/2018,11/6/2018,25,,FALSE,DEM,,FALSE,FALSE,10/12/2018 18:57,general,167,Galvin,12382,Alyse S. Galvin,DEM,43,0.483146067,0.465,-0.018146067,Alaska
55923,2018,Alaska,HOUSE ,Alaska Survey Research,,B/C,500,lv,Live Phone,1,District 1,10/1/2018,10/6/2018,11/6/2018,31,,FALSE,,,FALSE,FALSE,10/9/2018 17:38,general,167,Galvin,12382,Alyse S. Galvin,DEM,46,0.480668757,0.465,-0.015668757,Alaska
56122,2018,Alaska,HOUSE ,Alaska Survey Research,,B/C,500,lv,Live Phone,1,District 1,9/21/2018,9/25/2018,11/6/2018,42,,FALSE,,,FALSE,FALSE,10/9/2018 21:28,general,167,Galvin,12382,Alyse S. Galvin,DEM,42.5,0.44132918,0.465,0.02367082,Alaska
53602,2018,Alaska,HOUSE ,Lake Research Partners,,A/B,540,lv,Live Phone,1,District 1,6/7/2018,6/12/2018,11/6/2018,147,Alyse S. Galvin,TRUE,DEM,,FALSE,FALSE,8/13/2018 21:11,general,167,Galvin,12382,Alyse S. Galvin,DEM,36,0.620689655,0.465,-0.155689655,Alaska
53934,2018,Arkansas,HOUSE ,Hendrix College,Talk Business & Politics,B/C,422,lv,,1,District 1,9/5/2018,9/7/2018,11/6/2018,60,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,175,Desai,11454,Chintan Desai,DEM,22,0.278481013,0.295918367,0.017437354,Arkansas
56332,2018,Arkansas,HOUSE ,Hendrix College,Talk Business & Politics,B/C,590,lv,IVR/Live Phone,2,District 2,10/17/2018,10/18/2018,11/6/2018,19,,FALSE,,,FALSE,FALSE,10/21/2018 11:02,general,176,Tucker,11157,Clarke Tucker,DEM,39.5,0.434065934,0.469388,0.035322066,Arkansas
53934,2018,Arkansas,HOUSE ,Hendrix College,Talk Business & Politics,B/C,428,lv,,2,District 2,9/5/2018,9/7/2018,11/6/2018,60,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,176,Tucker,11157,Clarke Tucker,DEM,40.5,0.45,0.469388,0.019388,Arkansas
52673,2018,Arkansas,HOUSE ,Public Policy Polling,Patriot Majority USA,A-,610,v,IVR,2,District 2,4/16/2018,4/17/2018,11/6/2018,203,,FALSE,DEM,,FALSE,FALSE,6/26/2018 12:13,general,176,Tucker,11157,Clarke Tucker,DEM,42,0.471910112,0.469388,-0.002522112,Arkansas
53934,2018,Arkansas,HOUSE ,Hendrix College,Talk Business & Politics,B/C,428,lv,,3,District 3,9/5/2018,9/7/2018,11/6/2018,60,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,177,Mahony,11456,Josh Mahony,DEM,31,0.369047619,0.336735,-0.032312619,Arkansas
53934,2018,Arkansas,HOUSE ,Hendrix College,Talk Business & Politics,B/C,423,lv,,4,District 4,9/5/2018,9/7/2018,11/6/2018,60,,FALSE,,,FALSE,FALSE,9/10/2018 18:51,general,178,Shamel,11458,Hayden Shamel,DEM,24,0.307692308,0.316327,0.008634692,Arkansas
56745,2018,Arizona,HOUSE ,Optimus,,B/C,756,lv,IVR,1,District 1,10/31/2018,11/1/2018,11/6/2018,5,,FALSE,,,FALSE,FALSE,11/4/2018 16:22,general,179,O'Halleran,11460,Tom O'Halleran,DEM,47.7,0.51262762,0.538,0.02537238,Arizona
