state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.85691109,38.85691109,3.44357504,11.85820905,38.85691109,3.4683
AL,Senate,38.85691109,38.85691109,3.44357504,11.85820905,38.85691109,3.5638
AK,Senate,42.34414165,61.01928067,6.719625908,45.15337235,59.43150124,80.9574
AK,Governor,42.34414165,42.34414165,3.662409695,13.41324477,42.34414165,15.0531
AZ,Senate,41.38652082,52.56600597,4.95026077,24.50508169,51.64387451,57.8269
AZ,Governor,41.38652082,49.20900663,4.126229613,17.02577082,48.53322925,42.2795
AR,Senate,36.58035026,38.53795217,5.134547663,26.3635797,37.85337077,7.7116
AR,Governor,36.58035026,42.55121007,4.034434217,16.27665945,40.57838501,9.6671
CA,Governor,62.58687246,62.50325076,4.416125235,19.50216209,62.52095574,95.7599
CA,Senate,62.58687246,62.58687246,3.165789057,10.02222035,62.58687246,98.756
CO,Senate,54.2681203,54.72842623,4.545030502,20.65730226,54.67574958,72.6673
CO,Governor,54.2681203,58.13780517,4.116391686,16.94468051,57.63204756,85.3837
CT,Senate,58.52624202,54.51106144,3.599386368,12.95558223,55.88829575,78.7227
CT,Governor,58.52624202,57.64337456,2.36269729,5.582338486,58.39543607,92.9656
FL,Senate,48.53526439,47.55384847,4.58066366,20.98247957,47.66178514,37.3154
FL,Governor,48.53526439,45.43480108,4.342106346,18.85388752,45.7875145,27.0393
GA,Senate,41.97169175,51.55805886,4.453982251,19.83795789,50.80154868,54.7386
GA,Governor,41.97169175,46.98110428,3.553014436,12.62391158,46.57174345,27.3016
HI,Governor,69.17210295,69.17210295,3.000499635,9.002998061,69.17210295,99.9959
HI,Senate,69.17210295,69.17210295,3.000499635,9.002998061,69.17210295,99.9967
ID,Governor,34.35676478,34.35676478,4.286929328,18.37776306,34.35676478,1.0611
ID,Senate,34.35676478,34.35676478,4.286929328,18.37776306,34.35676478,1.1258
IL,Senate,57.92642485,60.6731983,5.695315256,32.43661586,60.23440225,87.4875
IL,Governor,57.92642485,60.84380936,5.675368063,32.20980265,60.38340478,87.9007
IN,Senate,42.42633551,48.27586207,2.617243974,6.849966019,42.60307473,13.0153
IA,Senate,45.49003365,46.01065796,4.419802424,19.53465346,45.95683474,29.1246
IA,Governor,45.49003365,40.3838177,4.462742232,19.91606823,41.05393758,11.0684
KS,Senate,43.25556534,41.1607426,2.974291152,8.846407858,43.1292926,9.0113
KS,Governor,43.25556534,52.87519664,3.089705668,9.546281118,44.68081326,15.3338
KY,Senate,38.46817942,41.4893617,3.259251204,10.62271841,38.55946226,4.1619
LA,Senate,20.82507169,36.28225458,5.228626912,27.33853939,30.98033547,0.7892
ME,Governor,47.50684462,56.09365474,4.330069139,18.74949875,53.4034348,68.6145
