state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Senate,38.85691109,32.50591017,4.946617598,24.46902566,34.77123273,2.7733
AL,Governor,38.85691109,29.83490566,4.907445273,24.08301911,33.05294211,1.5412
AK,Senate,42.34414165,60.66616092,6.738527998,45.40775959,59.12468231,80.0807
AK,Governor,42.34414165,42.34414165,3.662409695,13.41324477,42.34414165,15.0888
AZ,Senate,41.38652082,51.69167907,4.393255353,19.30069259,50.9776865,55.0764
AZ,Governor,41.38652082,48.83950654,3.66530314,13.43444711,48.32220445,40.5668
AR,Senate,36.58035026,38.53795217,5.134547663,26.3635797,37.85337077,7.6735
AR,Governor,36.58035026,42.55121007,4.034434217,16.27665945,40.57838501,9.6064
CA,Governor,62.58687246,61.42674908,4.32209406,18.68049707,61.66996001,94.9462
CA,Senate,62.58687246,62.58687246,3.165789057,10.02222035,62.58687246,98.7994
CO,Senate,54.2681203,54.74765722,4.329187799,18.74186699,54.70150008,73.4104
CO,Governor,54.2681203,56.31198281,3.96930556,15.75538663,56.11415884,80.432
CT,Senate,58.52624202,56.27725131,3.235312154,10.46724473,56.63433116,82.8139
CT,Governor,58.52624202,57.7802096,3.819346123,14.5874048,57.89654969,85.4824
FL,Senate,48.53526439,46.62548429,3.820341334,14.59500791,46.81700255,30.508
FL,Governor,48.53526439,44.70181717,3.59201952,12.90260423,45.068793,20.2388
GA,Senate,41.97169175,50.29359116,4.51980686,20.42865405,49.75401198,48.7418
GA,Governor,41.97169175,46.42754108,3.652612202,13.3415759,46.12432928,25.3088
HI,Governor,69.17210295,69.17210295,3.000499635,9.002998061,69.17210295,99.9971
HI,Senate,69.17210295,69.17210295,3.000499635,9.002998061,69.17210295,99.9968
ID,Governor,34.35676478,34.35676478,4.286929328,18.37776306,34.35676478,1.0934
ID,Senate,34.35676478,34.35676478,4.286929328,18.37776306,34.35676478,1.1089
IL,Senate,57.92642485,58.38389535,4.982891157,24.82920428,58.32335585,85.1279
IL,Governor,57.92642485,58.5163719,4.787873004,22.9237279,58.43894955,86.0902
IN,Senate,42.42633551,48.27586207,2.617243974,6.849966019,42.60307473,12.9631
IA,Senate,45.49003365,45.58763956,4.05057953,16.40719453,45.57827884,26.219
IA,Governor,45.49003365,41.11072204,4.073505155,16.59344425,41.56980564,10.9644
KS,Senate,43.25556534,38.16563578,4.704832848,22.13545213,39.91151632,8.0607
KS,Governor,43.25556534,52.54542617,3.871741826,14.99038477,49.53105434,46.9578
KY,Senate,38.46817942,41.4893617,3.259251204,10.62271841,38.55946226,4.1333
LA,Senate,20.82507169,36.28225458,5.228626912,27.33853939,30.98033547,0.7955
ME,Governor,47.50684462,56.09365474,4.330069139,18.74949875,53.4034348,68.6576
MD,Governor,59.60060258,68.22384144,4.750070172,22.56316664,65.20825951,98.2514
MD,Senate,59.60060258,59.60060258,3.614376095,13.06371455,59.60060258,95.3593
MA,Governor,63.42754701,65.41659251,5.071589588,25.72102095,65.10078503,96.0785
MI,Governor,52.09968939,52.79634587,4.068676503,16.55412848,52.7494092,65.0245
MN,Governor,54.65445806,53.11422526,4.305007101,18.53308614,53.31390246,67.2341
MO,Senate,43.4869378,44.25279559,4.375616812,19.14602248,44.1326543,23.8082
NE,Governor,37.20487279,46.06741573,3.411124194,11.63576826,37.47264812,1.2907
NV,Senate,50.11676012,49.18993707,4.57125946,20.89641305,49.25782653,45.9157
NV,Governor,50.11676012,48.86120311,4.673439244,21.84103437,48.96126531,44.3833
NH,Senate,50.29042677,51.5167055,3.962162479,15.69873151,51.39050155,57.7582
NH,Governor,50.29042677,41.11325301,4.48245075,20.09236473,42.06200821,14.9178
NM,Governor,56.00332002,53.0051057,4.521374713,20.44282929,53.31648881,66.4307
NY,Senate,65.32933918,58.91152056,4.496956949,20.2226218,59.42583848,90.1577
NY,Governor,65.32933918,53.35163508,3.973594464,15.78945296,54.23169864,73.5941
NC,Senate,49.56821954,48.74582767,4.417074196,19.51054446,48.81617085,43.8691
ND,Senate,26.86014703,26.86014703,4.537650235,20.59026965,26.86014703,0.0744
OH,Senate,45.37027389,48.55133099,4.422235158,19.55616379,48.33417292,41.6503
OH,Governor,45.37027389,39.73112373,4.390734397,19.27854854,40.11639794,9.6936
OK,Governor,32.93398112,46.95345193,4.722792006,22.30476433,44.8289193,26.9036
OK,Senate,32.93398112,38.57510345,4.551295645,20.71429205,37.68485447,5.9161
OK2,Senate,32.93398112,40.77414558,4.372745028,19.12089908,39.53685662,8.997
OR,Senate,57.60816809,58.33099946,4.404039759,19.3955662,58.1779565,86.6883
OR,Governor,57.60816809,49.98114691,5.987919499,35.85517993,50.78068818,53.3428
PA,Senate,52.82642048,50.8460926,4.516153694,20.39564419,50.98521728,54.759
PA,Governor,52.82642048,55.70343876,4.484299758,20.10894432,55.4930815,74.7916
RI,Governor,63.57894393,57.22789923,5.53149903,30.59748152,59.44888556,84.3728
SC,Senate,41.54334671,40.65795356,3.260443759,10.63049351,41.48997655,6.0688
SC,Governor,41.54334671,46.35123162,3.165512849,10.0204716,41.97628218,6.6402
SD,Senate,36.27385317,32.95755007,5.015297228,25.15320629,34.09506464,2.3227
SD,Governor,36.27385317,40.16649324,3.056526208,9.34235246,38.77803723,2.2114
TN,Governor,37.90797873,35,5.317555684,28.27639845,36.03723963,5.5877
TX,Governor,45.2024658,45.4671007,3.818428516,14.58039633,45.44220728,24.2068
UT,Senate,34.63992347,45.66603089,5.078907681,25.79530324,44.40043061,26.2971
VT,Senate,56.15958883,66.10831746,3.829618923,14.6659811,64.04286784,98.5107
VT,Governor,56.15958883,29.15512179,5.07116206,25.71668464,34.81640035,2.9498
WA,Senate,57.70660468,52.8133036,4.103431162,16.8381473,53.23185144,66.556
WI,Senate,50.71159593,48.84003647,3.456436579,11.94695382,49.00896283,43.8079
WI,Governor,50.71159593,49.71766733,3.429084602,11.75862121,49.83007939,48.9612
WY,Governor,28.10805824,28.10805824,4.284669763,18.35839498,28.10805824,0.0668
