state,BPI
Alabama,0.4316016372334272
Alaska,0.46647394285050586
Arizona,0.45689773457417987
Arkansas,0.40883602896928684
California,0.6689012509155934
Colorado,0.5857137293815358
Connecticut,0.6282949465527008
Delaware,0.6420890670572216
District Of Columbia,0.99038882779002535
Florida,0.5283851702532756
Georgia,0.462749443845978
Hawaii,0.7347535558567665
Idaho,0.3866001741541773
Illinois,0.6222967748777382
Indiana,0.46729588147149
Iowa,0.4979328629059463
Kansas,0.47558817974280304
Kentucky,0.4277143205564536
Louisiana,0.2512832432697859
Maine,0.5181009725168774
Maryland,0.6390385521256524
Massachusetts,0.6773079964259906
Michigan,0.5640294202687592
Minnesota,0.58957710694433
Mississippi,0.4347996667496539
Missouri,0.47790190438427693
Montana,0.4909666822574018
Nebraska,0.41508125424326703
Nevada,0.5442001275501551
New Hampshire,0.5459367941066225
New Jersey,0.6184960733826445
New Mexico,0.6030657265554552
New York,0.6963259181199061
North Carolina,0.5387147217899974
North Dakota,0.31163399668569153
Ohio,0.49673526529331347
Oklahoma,0.37237233753007903
Oregon,0.6191142072264036
Pennsylvania,0.571296731109296
Rhode Island,0.6788219656618035
South Carolina,0.45846599345171707
South Dakota,0.40577105801164604
Tennessee,0.42211231366909935
Texas,0.4950571843219447
Utah,0.3894317610895463
Vermont,0.6046284146583023
Virginia,0.5953008900445266
Washington,0.6200985731655554
West Virginia,0.40197753776141953
Wisconsin,0.5501484856262248
Wyoming,0.3241131087983043
