state,office,democrat,republican
Wisconsin,Senate,Mandela Barnes,Ron Johnson
Washington,Senate,Patty Murray,Tiffany Smiley
Vermont,Senate,Peter Welch,Gerald Malloy
Utah,Senate,Evan McMullin,Mike Lee
South Dakota,Senate,Brian L. Bengs,John R. Thune
South Carolina,Senate,Krystle Matthews,Tim Scott
Pennsylvania,Senate,John Fetterman,Mehmet Oz
Oregon,Senate,Ron Wyden,Jo Rae Perkins
Oklahoma,Senate 1,Madison Horn,James Lankford
Oklahoma,Senate 2,Kendra Horn,Markwayne Mullin
Ohio,Senate,Tim Ryan,J.D. Vance
New York,Senate,Charles E. Schumer,Joe Pinion
Nevada,Senate,Catherine Cortez Masto,Adam Paul Laxalt
New Hampshire,Senate,Maggie Hassan,Donald C. Bolduc
North Dakota,Senate,Katrina Christiansen,John Hoeven
North Carolina,Senate,Cheri Beasley,Ted Budd
Missouri,Senate,Trudy Busch Valentine,Eric Schmitt
Maryland,Senate,Chris Van Hollen,Chris Chaffee
Louisiana,Senate,Gary Chambers,John Kennedy
Kentucky,Senate,Charles Booker,Rand Paul
Kansas,Senate,Mark R. Holland,Jerry Moran
Indiana,Senate,Thomas McDermott,Todd Young
Illinois,Senate,Tammy Duckworth,Kathy Salvi
Idaho,Senate,David Roth,Mike Crapo
Iowa,Senate,Michael Franken,Chuck Grassley
Hawaii,Senate,Brian Schatz,Bob McDermott
Georgia,Senate,Raphael Warnock,Herschel Junior Walker
Florida,Senate,Val Demings,Marco Rubio
Connecticut,Senate,Richard Blumenthal,Leora R. Levy
Colorado,Senate,Michael Bennet,Joe O'Dea
California,Senate,Alex Padilla,Mark P. Meuser
Arizona,Senate,Mark Kelly,Blake Masters
Arkansas,Senate,Natalie James,John Boozman
Alabama,Senate,Will Boyd,Katie Britt
Alaska,Senate,Patricia R. Chesbro,Lisa Murkowski
Wyoming,Governor,Theresa A. Livingston,Mark Gordon
Wisconsin,Governor,Tony Evers,Tim Michels
Vermont,Governor,Brenda Siegel,Phil Scott
Texas,Governor,Beto O'Rourke,Greg Abbott
Tennessee,Governor,Jason Brantley Martin,Bill Lee
South Dakota,Governor,Jamie Smith,Kristi Noem
South Carolina,Governor,Joe Cunningham,Henry McMaster
Rhode Island,Governor,Daniel J. McKee,Ashley Kalus
Pennsylvania,Governor,Josh Shapiro,Douglas V. Mastriano
Oregon,Governor,Tina Kotek,Christine Drazan
Oklahoma,Governor,Joy Hofmeister,Kevin Stitt
Ohio,Governor,Nan Whaley,Mike DeWine
New York,Governor,Kathy C. Hochul,Lee M. Zeldin
Nevada,Governor,Steve Sisolak,Joe Lombardo
New Mexico,Governor,Michelle Lujan Grisham,Mark V. Ronchetti
New Hampshire,Governor,Tom Sherman,Chris Sununu
Nebraska,Governor,Carol Blood,Jim Pillen
Minnesota,Governor,Tim Walz,Scott Jensen
Michigan,Governor,Gretchen Whitmer,Tudor M. Dixon
Maine,Governor,Janet T. Mills,Paul R. LePage
Maryland,Governor,Wes Moore,Dan Cox
Massachusetts,Governor,Maura Healey,Geoff Diehl
Kansas,Governor,Laura Kelly,Derek Schmidt
Illinois,Governor,J.B. Pritzker,Darren Bailey
Idaho,Governor,Stephen Heidt,Brad Little
Iowa,Governor,Deidre DeJear,Kim Reynolds
Hawaii,Governor,Josh Green,Duke Aiona
Georgia,Governor,Stacey Abrams,Brian Kemp
Florida,Governor,Charlie Crist,Ron DeSantis
Connecticut,Governor,Edward Lamont,Robert Stefanowski
Colorado,Governor,Jared Polis,Heidi Ganahl
California,Governor,Gavin Newsom,Brian Dahle
Arizona,Governor,Katie Hobbs,Kari Lake
Arkansas,Governor,Chris Jones,Sarah Huckabee Sanders
Alabama,Governor,Yolanda Rochelle Flowers,Kay Ivey
Alaska,Governor,Les Gara,Mike Dunleavy
