state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.85691108757344,NA,18.32934369659838,4.281278278341456,0,0
Alabama,Senate,38.85691108757344,NA,18.26946136759838,4.274279046529179,0,0
Alaska,Senate,42.34414164928131,0.528051976056358,36.172945012289695,6.014394816794928,39,18
Alaska,Governor,42.34414164928131,NA,20.041025700542868,4.476720417955858,0,0
Arizona,Senate,41.38652082164871,0.523726883717855,29.006274242377195,5.38574732440886,24,10
Arizona,Governor,41.38652082164871,0.49336850194819226,20.19986309770515,4.494425780642634,20,10
Arkansas,Senate,36.5803502611594,0.3853795216522996,32.90844550257979,5.736588315591401,2,1
Arkansas,Governor,36.5803502611594,0.4255121006804029,22.766129031540622,4.77138648943267,5,1
California,Governor,62.586872455790065,0.6250325076147158,22.991442240421573,4.794939232192789,3,2
California,Senate,62.586872455790065,NA,14.3036268084204,3.7820135917815527,0,0
Colorado,Senate,54.268120302384304,0.5472842622565548,26.473033587577504,5.145195194312603,12,4
Colorado,Governor,54.268120302384304,0.5813780516634615,23.199232582550447,4.816558167670193,9,3
Connecticut,Senate,58.526242019500806,0.56206255084063,16.645120339753042,4.0798431758773575,4,2
Connecticut,Governor,58.526242019500806,0.5788560285222101,19.324827612837016,4.396001320841137,8,3
Florida,Senate,48.53526438955828,0.4755384847239657,26.444379077777086,5.142409851205667,26,4
Florida,Governor,48.53526438955828,0.4543480108085579,24.30915147357264,4.930431165078024,14,4
Georgia,Senate,41.97169174882852,0.5106421325786998,21.8980750921074,4.679537914378662,37,15
Georgia,Governor,41.97169174882852,0.4657545422052981,17.746498608339714,4.212659327353651,35,14
Hawaii,Governor,69.17210294990738,NA,15.557421771880227,3.9442897677376885,0,0
Hawaii,Senate,69.17210294990738,NA,15.603901035880227,3.9501773423329016,0,0
Idaho,Governor,34.35676477964845,NA,24.751587092390572,4.975096691762943,0,0
Idaho,Senate,34.35676477964845,NA,23.369700503390575,4.834221809494324,0,0
Illinois,Senate,57.926424852004544,0.6067319830088265,36.85508309130761,6.070838746936671,4,2
Illinois,Governor,57.926424852004544,0.6084380936079048,36.717741607443394,6.059516614998542,6,2
Indiana,Senate,42.42633551137972,0.4827586206896552,13.22563236588433,3.6367062523503777,1,0
Iowa,Senate,45.49003365482535,0.4601065795622184,25.563374421338217,5.056023578004578,16,6
Iowa,Governor,45.49003365482535,0.40383817704405545,26.477847897098886,5.14566301822213,8,4
Kansas,Senate,43.255565338511026,0.4116074260240026,14.922411981931813,3.8629537897743242,2,0
Kansas,Governor,43.255565338511026,0.5287519663772351,16.154892005945257,4.019314867728735,5,0
Kentucky,Senate,38.46817941987608,0.4148936170212766,17.058253289918454,4.130163833302313,1,0
Louisiana,Senate,20.825071691209317,0.3628225457597396,33.84628095337003,5.817755662914181,3,1
Maine,Governor,47.50684461591846,0.5609365474051017,24.999210388661638,4.999921038242668,8,1
Maryland,Senate,59.60060257679597,0.43023255813953487,17.022198972435397,4.125796768193435,1,0
Maryland,Governor,59.60060257679597,0.6818181818181818,26.21003113153245,5.1195733349110695,1,1
Massachusetts,Governor,63.42754700682979,0.6580041521337168,36.852506336941815,6.0706265193093385,4,2
Michigan,Governor,52.09968939110665,0.5282965818560708,23.34566473177263,4.831735167801794,23,13
Minnesota,Governor,54.65445805866372,0.5246712654795309,27.158035606710072,5.21133721867143,10,4
Missouri,Senate,43.48693780265842,0.4346726151992122,29.952928461151057,5.4729268642245765,4,1
Nebraska,Governor,37.204872788557424,0.4606741573033708,26.46599119349251,5.1445107827171,1,1
Nevada,Senate,50.11676011924624,0.492419625685519,28.330368171147533,5.322627938448031,22,7
Nevada,Governor,50.11676011924624,0.4847613133861064,28.71294662546328,5.3584462883809225,15,5
New Hampshire,Senate,50.290426774892985,0.5224320314101392,21.037297815240343,4.586643414877631,15,7
New Hampshire,Governor,50.290426774892985,0.41481481764525824,25.60651570594404,5.060288105033551,13,6
New Mexico,Governor,56.00332001977625,0.5295234843834893,27.809418503016676,5.273463615406546,11,4
New York,Senate,65.32933917622134,0.5902876620896451,24.928639772844157,4.992858877721677,9,4
New York,Governor,65.32933917622134,0.5356413434029158,25.300305428344338,5.029940897102503,18,7
North Carolina,Senate,49.56821954323046,0.48419894990719625,26.53077093295795,5.150802940606246,21,7
North Dakota,Senate,26.860147032799876,NA,26.812770187669067,5.178104883803443,0,0
Ohio,Senate,45.37027389356207,0.48904786911391224,27.927532695722917,5.284650669223361,28,14
Ohio,Governor,45.37027389356207,0.39594778446243306,25.752260338891546,5.0746684954676144,26,14
Oklahoma,Governor,32.93398111723862,0.4839250691299348,32.37094802017586,5.689547259683837,12,3
Oklahoma,Senate 1,32.93398111723862,0.4100460286570426,33.35731863141439,5.775579506111433,5,2
Oklahoma,Senate 2,32.93398111723862,0.4303713813743031,29.990166747165546,5.476327852417671,5,2
Oregon,Senate,57.60816808687109,0.5833099945921528,26.76925194161862,5.173901037091705,3,3
Oregon,Governor,57.60816808687109,0.501741661978049,39.15336576307348,6.2572650385830295,9,6
Pennsylvania,Senate,52.82642047516033,0.515126186039763,25.09000388294367,5.008992302144581,27,9
Pennsylvania,Governor,52.82642047516033,0.546552633416107,29.250399274237264,5.408363825986309,24,8
Rhode Island,Governor,63.57894393041108,0.5722789923023653,41.42248249792023,6.436030026182307,2,2
South Carolina,Senate,41.54334670940243,0.40657953563679267,17.282165139045585,4.1571823557603995,2,0
South Carolina,Governor,41.54334670940243,0.4635123161761458,14.66441539287951,3.829414497397678,3,0
South Dakota,Senate,36.27385316539532,0.4177021429263621,24.142852161371145,4.913537642205577,2,0
South Dakota,Governor,36.27385316539532,NA,23.695842793652577,4.867837589079218,0,0
Tennessee,Governor,37.90797873114066,NA,15.474036612579049,3.9337052015344325,0,0
Texas,Governor,45.20246579642519,0.4601048412224781,20.612851647722454,4.5401378445728335,28,7
Utah,Senate,34.639923473185355,0.4673583009255888,33.20688994534754,5.762541969074719,8,2
Vermont,Senate,56.159588830060954,0.6559350054146373,25.35872903694768,5.035745132246833,4,1
Vermont,Governor,56.159588830060954,0.3446147894885005,36.26826675891773,6.022314070099444,3,1
