office,state,variance
senate,CO,0.06091851696
governor,OH,0.05230349257
governor,NE,0.06328950657
senate,LA,0.06507741565
governor,NV,0.06569687507
governor,AK,0.06627780928
senate,VT,0.06587704435
senate,IA,0.06028720957
senate,CA,0.04281406457
senate,IN,0.06375666347
governor,MN,0.06519024029
senate,SC,0.06651671631
governor,PA,0.05888818548
governor,NH,0.06301667549
governor,SD,0.0654078114
senate,OR,0.06364124687
senate,WA,0.04638792082
senate,IL,0.06073871481
senate,SD,0.06547561297
senate,UT,0.04474052903
senate,AZ,0.05863803544
governor,MD,0.05827830195
governor,FL,0.05621787998
governor,ME,0.06249711643
governor,TN,0.06465288877
governor,ID,0.06373824029
governor,TX,0.06426181634
senate,NV,0.0578205059
governor,NY,0.05787185741
governor,IL,0.06080841535
senate,KY,0.06435534876
senate,AK,0.05728521816
governor,IA,0.06561779669
governor,WY,0.06557701037
senate,OH,0.06131015891
governor,KS,0.06608610888
governor,OK,0.04516153916
governor,RI,0.06538183479
senate 2,OK,0.06079990963
governor,AR,0.06489469583
senate,NY,0.06358108827
senate,GA,0.03983345973
senate 1,OK,0.0637934151
governor,NM,0.05791467972
governor,MA,0.06500259762
governor,GA,0.06079704673
senate,NC,0.04954764274
senate,CT,0.06407264526
governor,VT,0.06518591573
senate,AR,0.06544865801
governor,OR,0.0249332117
senate,ND,0.06222500536
governor,CT,0.02943705814
senate,AL,0.06411252313
governor,HI,0.06554423711
senate,NH,0.05314046972
governor,WI,0.054591267
senate,KS,0.06076004124
senate,FL,0.05637722076
senate,ID,0.0499193744
governor,CO,0.0662565736
senate,HI,0.06600902975
governor,MI,0.06263298444
senate,PA,0.04458362739
governor,CA,0.03489280151
senate,WI,0.04942147467
governor,AZ,0.03107421612
senate,MD,0.06538786434
governor,SC,0.04643943795
senate,MO,0.05913272145
governor,AL,0.06471134642
