state_po,office,BPI,polls,standard_deviation,variance,lean,dem_wins
ID,Governor,34.355956295622036,NA,4.286929328014468,18.377763063390574,34.355956295622036,0
NH,Governor,50.28961829086657,41.20274061552253,4.417884003659658,19.517699069791888,43.45320668093656,23
OK,Senate,32.93317263321221,41.00460286570426,5.194032837922224,26.97797712141439,37.65382265977646,5
AL,Governor,38.85610260354702,NA,3.4435750397803706,11.85820905459838,38.85610260354702,0
TN,Governor,37.907170247114244,NA,3.001457601829326,9.00874773557905,37.907170247114244,0
AZ,Governor,41.385712337622294,49.298392882377165,4.069880304129496,16.563925689941197,48.14944034099296,95
NV,Governor,50.11595163521982,48.47613133861065,4.705662452669474,22.143259118463284,48.81657345231396,125
OR,Governor,57.607359602844674,50.1741661978049,6.054753883773764,36.66004459307348,51.6340620755728,174
KS,Governor,43.25475685448461,52.87519663772351,3.0897056684974475,9.54628111794526,44.680124557959765,14
WI,Governor,50.71078744282679,50.39934039316682,3.4752177175514047,12.077138184383196,50.4755175778771,184
GA,Governor,41.970883264802104,46.6311668253933,3.5174978859128117,12.372791377401098,46.08102461728847,39
ME,Governor,47.506036131892046,56.09365474051018,4.330069138669917,18.749498745661636,51.585154970985656,184
NM,Governor,56.00251153574983,55.10531414341222,4.908338628833801,24.09178809530208,55.37271522698167,259
HI,Governor,69.17129446588096,NA,3.000499635207481,9.002998060880227,69.17129446588096,300
SD,Governor,36.27304468136891,NA,4.141866928530247,17.155061653652577,36.27304468136891,0
CA,Governor,62.58606397176365,62.503250761471584,4.416125234798213,19.502162089421574,62.53932273523255,300
FL,Governor,48.534455905531864,45.434801080855785,4.342106346307532,18.85388752264415,46.084619845540246,62
MA,Governor,63.426738522803376,65.80041521337169,5.50928730190592,30.35224657494182,64.79131793949716,300
WI,Senate,50.71078744282679,49.453922975047696,3.4207964819865344,11.70184857117145,49.7174149320637,143
GA,Senate,41.970883264802104,51.3449081828071,4.375365967322863,19.143827348007136,50.284717951589826,144
NV,Senate,50.11595163521982,49.2419625685519,4.748506879130273,22.548317581147533,49.38423504171987,148
NC,Senate,49.56741105920405,48.5405263877226,4.584529456904192,21.017910341222244,48.70986253051616,122
OH,Senate,45.36946540953566,48.88284651472493,4.740917244877421,22.47629632277612,48.43794558803918,99
ND,Senate,26.859338548773458,NA,4.537650234611419,20.590269651669068,26.859338548773458,0
AK,Senate,42.3433331652549,53.230105025434895,5.494769616676452,30.19249314035068,51.73813284661119,187
ID,Senate,34.355956295622036,NA,4.286929328014468,18.377763063390574,34.355956295622036,0
HI,Senate,69.17129446588096,NA,3.000499635207481,9.002998060880227,69.17129446588096,300
SD,Senate,36.27304468136891,41.7702142926362,4.194674107051839,17.595290864371144,36.60440572697875,0
AR,Senate,36.57954177713299,38.53795216522997,5.134547662801445,26.363579701579788,37.30290065562731,3
MD,Senate,59.59979409276956,43.02325581395349,3.2378098366697503,10.483412538435395,59.09894596710157,299
CT,Senate,58.52543353547439,54.51106143899753,3.59938636849913,12.955582229737354,56.96311115887481,294
AZ,Senate,41.385712337622294,52.44901424179768,4.844959042089772,23.473628119527444,50.966081467662164,173
PA,Senate,52.82561199113392,51.67789421957137,4.803828658717809,23.07676978231855,51.83888380994732,196
NH,Senate,50.28961829086657,53.0570596127368,4.081045494043988,16.654932324456745,52.47111742342218,209
FL,Senate,48.534455905531864,47.553848472396574,4.580663660417272,20.982479569867365,47.73839114705418,101
CO,Senate,54.26731181835789,54.72842622565547,4.545030501771343,20.65730226203187,54.62980970885686,253
CA,Senate,62.58606397176365,NA,3.1657890566840363,10.0222203514204,62.58606397176365,300
AL,Senate,38.85610260354702,NA,3.4435750397803706,11.85820905459838,38.85610260354702,0
NY,Senate,65.32853069219492,59.02876620896451,4.3351615945936235,18.793626051239528,60.418653441638995,296
SC,Senate,41.54253822537601,40.657953563679264,3.2604437593747244,10.630493508045586,41.489216803779435,2
KY,Senate,38.467370935849665,41.48936170212766,3.2592512044821667,10.622718413918454,38.55867820312214,0
KS,Senate,43.25475685448461,41.16074260240026,2.9742911521792568,8.846407857931812,43.12853285174138,4
OR,Senate,57.607359602844674,58.330999459215285,4.517203477221124,20.40512725461862,58.08743677555145,288
LA,Senate,20.8242632071829,36.28225457597397,5.2286269123327225,27.338539388370023,26.840239113836056,0
