state,office_type,BPI,weighted_polls,weighted_sd,weighted_var,weighted_third_party,weighted_undecided,number_of_polls,last_30_polls,percent_polls,lean
Alabama,NA,0.4316016372334272,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,NA,0.46647394285050586,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,Senate,0.4568977345741798,0.5318360072901822,0.01991663746010782,4.043653385998695e-4,2.2103145082794864,7.3581807696406605,12,7,0.7475474613162473,0.512917650098452
Arizona,Governor,0.4568977345741798,0.49953569424766786,0.01963647416377138,3.942761101801848e-4,0.1457851152220715,7.074220570907911,9,6,0.7274674406987297,0.48791546197446783
Arkansas,Senate,0.4088360289692869,0.41216216216216217,0.01980175718734845,3.921095877067062e-4,5,21,1,1,0.31556140108872355,0.4098856282198383
Arkansas,Governor,0.4088360289692869,0.384079499748091,0.01798541132103801,3.453446428701387e-4,1.865434685091101,5.54996760905879,4,3,0.6061561776412547,0.3938297058449028
California,Governor,0.6689012509155934,0.651685393258427,0.01551161086154731,2.4061007152007249e-4,0,11,1,1,0.31556140108872355,0.6634685907523539
Colorado,Senate,0.5857137293815358,0.5428883275169832,0.01743216675743734,3.074005724216803e-4,2.6081664298486973,10.307681573967958,8,3,0.6264244320982421,0.5588868513391545
Colorado,Governor,0.5857137293815358,0.5623660624136818,0.01594851675632623,2.5500822628759005e-4,1.2690053062018076,9.246979168384266,6,2,0.5380726880850821,0.5731509874556273
Connecticut,Senate,0.6282949465527008,0.5827831349565937,0.01352258044271656,1.900555741073941e-4,0,7.568242092457558,2,2,0.5010112317245373,0.6054930177669202
Connecticut,Governor,0.6282949465527008,0.5774565456355192,0.01544136353095034,2.4812986175761273e-4,0,6.0728269286548,6,3,0.6166835916310046,0.5969437388823162
Delaware,NA,0.6420890670572216,NA,NA,NA,NA,NA,NA,NA,NA,NA
District Of Columbia,NA,0.9903888277900252,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Senate,0.5283851702532756,0.482990143931696,0.01998430459078833,4.177542719589645e-4,0.7296959783017456,7.971011280043399,21,6,0.7440258996494294,0.4946100949547528
Florida,Governor,0.5283851702532756,0.464702228604127,0.02092610801962944,4.5651939401519375e-4,0.7997277762525824,6.110094274923931,9,7,0.7440258996494296,0.4810034123004457
Georgia,Senate,0.462749443845978,0.5109326780827184,0.01700536942754239,2.9585256358552123e-4,2.10620506014217,5.004969000600132,22,8,0.7680781565806555,0.49975793357662746
Georgia,Governor,0.462749443845978,0.4734448316038486,0.01726187420714797,3.049317785399092e-4,1.0814134544220562,4.005073020975157,21,10,0.7828560422976704,0.4711223927769435
Hawaii,NA,0.7347535558567665,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NA,0.3866001741541773,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,Senate,0.6222967748777382,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,2.4000000000000057,20.40000000000001,1,0,0.02735187216062337,0.6206169337778916
Illinois,Governor,0.6222967748777382,0.5635027227557651,0.0157379496368143,2.4786177232616476e-4,2.3034394151728916,14.594486991445567,3,1,0.3523123552825096,0.6015829038980431
Indiana,Senate,0.46729588147149,0.4827586206896552,0.01166025119612212,1.3596145795666747e-4,0,13,1,0,0.02735187216062337,0.4677188163378383
Iowa,Senate,0.4979328629059463,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,0,8.114116696676632,10,1,0.45605141616399325,0.4878057612568807
Iowa,Governor,0.4979328629059463,0.4093783325474538,0.02148507575696452,4.6255576087967314e-4,2.43494730563969,9.539057406410606,4,0,0.10807268808508205,0.488362536767992
Kansas,Senate,0.47558817974280304,0.4116074260240027,0.02075394603717583,4.475372403812362e-4,0,17.721837264714488,2,2,0.5010112317245373,0.4435331035154826
Kansas,Governor,0.47558817974280304,0.5287519663772352,0.02015847174487969,4.249569373441642e-4,1.9015065087639376,8.09355007735492,5,2,0.5294514636526828,0.5037358243897221
Kentucky,Senate,0.4277143205564536,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,0,6,1,0,0.02735187216062337,0.42736365031235013
Louisiana,NA,0.2512832432697859,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,Governor,0.5181009725168774,0.566619439135916,0.01754006259587003,3.119605408188881e-4,0.8900125690364936,7.387611729226483,7,3,0.6216471274828319,0.5482623379204744
