poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
80869,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,9/23/22,9/27/22,,"",,162648,1566,a,,a,,9/29/22 13:40,"",https://news.yahoo.com/poll-midterm-momentum-shifts-back-to-gop-as-inflation-fears-grow-151344613.html,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,41.0
80869,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,9/23/22,9/27/22,,"",,162648,1566,a,,a,,9/29/22 13:40,"",https://news.yahoo.com/poll-midterm-momentum-shifts-back-to-gop-as-inflation-fears-grow-151344613.html,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,40.0
80869,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,9/23/22,9/27/22,,"",,162649,1138,rv,,rv,,9/29/22 13:40,"",https://news.yahoo.com/poll-midterm-momentum-shifts-back-to-gop-as-inflation-fears-grow-151344613.html,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,47.0
80869,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,9/23/22,9/27/22,,"",,162649,1138,rv,,rv,,9/29/22 13:40,"",https://news.yahoo.com/poll-midterm-momentum-shifts-back-to-gop-as-inflation-fears-grow-151344613.html,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,45.0
80872,1102,Emerson College Polling Society,"960,1032",The Hill | WDAF-TV,Emerson College,88,Emerson College,A-,IVR/Online/Text,Missouri,9/23/22,9/27/22,,"",,162674,1160,lv,,lv,,9/30/22 09:17,"",https://emersoncollegepolling.com/missouri-2022-republican-eric-schmitt-with-double-digit-lead-over-democrat-trudy-busch-valentine/,"",false,,8826,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,37.0
80872,1102,Emerson College Polling Society,"960,1032",The Hill | WDAF-TV,Emerson College,88,Emerson College,A-,IVR/Online/Text,Missouri,9/23/22,9/27/22,,"",,162674,1160,lv,,lv,,9/30/22 09:17,"",https://emersoncollegepolling.com/missouri-2022-republican-eric-schmitt-with-double-digit-lead-over-democrat-trudy-busch-valentine/,"",false,,8826,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,51.4
80871,1102,Emerson College Polling Society,"656,960",WHTM-TV | The Hill,Emerson College,88,Emerson College,A-,IVR/Online/Text,Pennsylvania,9/23/22,9/26/22,,"",,162673,1000,lv,,lv,,9/30/22 09:17,"",https://emersoncollegepolling.com/pennsylvania-2022-fettermans-lead-shrinks-in-us-senate-race-shapiros-lead-expands-for-governors-seat/,"",false,,8872,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,44.9
80871,1102,Emerson College Polling Society,"656,960",WHTM-TV | The Hill,Emerson College,88,Emerson College,A-,IVR/Online/Text,Pennsylvania,9/23/22,9/26/22,,"",,162673,1000,lv,,lv,,9/30/22 09:17,"",https://emersoncollegepolling.com/pennsylvania-2022-fettermans-lead-shrinks-in-us-senate-race-shapiros-lead-expands-for-governors-seat/,"",false,,8872,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,45.9
80848,1102,Emerson College Polling Society,"838,960",WGN | The Hill,Emerson College,88,Emerson College,A-,IVR/Online/Text,Illinois,9/21/22,9/23/22,,"",,162601,1000,lv,,lv,,9/28/22 15:35,"",https://emersoncollegepolling.com/illinois-2022-democratic-gov-j-b-pritzker-and-sen-tammy-duckworth-in-strong-position-in-re-election-bids/,"",false,,8794,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,51.0
80848,1102,Emerson College Polling Society,"838,960",WGN | The Hill,Emerson College,88,Emerson College,A-,IVR/Online/Text,Illinois,9/21/22,9/23/22,,"",,162601,1000,lv,,lv,,9/28/22 15:35,"",https://emersoncollegepolling.com/illinois-2022-democratic-gov-j-b-pritzker-and-sen-tammy-duckworth-in-strong-position-in-re-election-bids/,"",false,,8794,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,38.3
80817,1102,Emerson College Polling Society,"960,1185",The Hill | Nexstar,Emerson College,88,Emerson College,A-,IVR/Online/Text,Texas,9/20/22,9/22/22,,"",,162487,1000,lv,,lv,,9/27/22 09:12,"",https://emersoncollegepolling.com/texas-2022-greg-abbott-leads-beto-orourke-by-eight-in-gubernatorial-election/,"",false,,8889,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,39.9
80817,1102,Emerson College Polling Society,"960,1185",The Hill | Nexstar,Emerson College,88,Emerson College,A-,IVR/Online/Text,Texas,9/20/22,9/22/22,,"",,162487,1000,lv,,lv,,9/27/22 09:12,"",https://emersoncollegepolling.com/texas-2022-greg-abbott-leads-beto-orourke-by-eight-in-gubernatorial-election/,"",false,,8889,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,49.1
80773,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,,,9/17/22,9/22/22,,"",,162039,1000,lv,,lv,,9/23/22 17:25,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/09/National-Presentation-RELEASE-9-23-22-1.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,45.0
80773,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,,,9/17/22,9/22/22,,"",,162039,1000,lv,,lv,,9/23/22 17:25,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/09/National-Presentation-RELEASE-9-23-22-1.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,49.0
80773,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,,,9/17/22,9/22/22,,"",,162040,1000,lv,,lv,,9/23/22 17:25,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/09/National-Presentation-RELEASE-9-23-22-1.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Harris,16661,Kamala Harris,42.0
80773,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,,,9/17/22,9/22/22,,"",,162040,1000,lv,,lv,,9/23/22 17:25,"",https://mclaughlinonline.com/pols/wp-content/uploads/2022/09/National-Presentation-RELEASE-9-23-22-1.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,51.0
80763,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online,,9/20/22,9/21/22,,"",,161976,1368,lv,,lv,,9/23/22 09:28,"",https://emersoncollegepolling.com/september-national-poll-president-bidens-approval-at-year-high-56-of-voters-agree-the-pandemic-is-over/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,45.3
80763,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online,,9/20/22,9/21/22,,"",,161976,1368,lv,,lv,,9/23/22 09:28,"",https://emersoncollegepolling.com/september-national-poll-president-bidens-approval-at-year-high-56-of-voters-agree-the-pandemic-is-over/,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,43.9
80801,1704,ABC/Washington Post,"","",ABC News/The Washington Post,3,ABC News/The Washington Post,A+,Live Phone,,9/18/22,9/21/22,,"",,162431,1006,a,,a,,9/26/22 08:59,"",https://www.langerresearch.com/wp-content/uploads/1226a1MidtermPolitics.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,DEM,Biden,19368,Joe Biden,48.0
80801,1704,ABC/Washington Post,"","",ABC News/The Washington Post,3,ABC News/The Washington Post,A+,Live Phone,,9/18/22,9/21/22,,"",,162431,1006,a,,a,,9/26/22 08:59,"",https://www.langerresearch.com/wp-content/uploads/1226a1MidtermPolitics.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,REP,Trump Sr.,16651,Donald Trump,46.0
