poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
72762,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Montana,10/29/20,11/2/20,,"",,136573,920,lv,,lv,,11/2/20 22:15,"",https://docs.google.com/spreadsheets/d/1MPKy3AfXEIpcB_0jKhq8y7_cxPyH_71cUY4zO2lTGfU/edit#gid=0,538,false,,7821,2020,Governor,0,,11/3/20,general,false,false,DEM,Cooney,14688,Mike Cooney,44.0
72762,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Montana,10/29/20,11/2/20,,"",,136573,920,lv,,lv,,11/2/20 22:15,"",https://docs.google.com/spreadsheets/d/1MPKy3AfXEIpcB_0jKhq8y7_cxPyH_71cUY4zO2lTGfU/edit#gid=0,538,false,,7821,2020,Governor,0,,11/3/20,general,false,false,REP,Gianforte,14689,Greg Gianforte,48.0
72762,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Montana,10/29/20,11/2/20,,"",,136573,920,lv,,lv,,11/2/20 22:15,"",https://docs.google.com/spreadsheets/d/1MPKy3AfXEIpcB_0jKhq8y7_cxPyH_71cUY4zO2lTGfU/edit#gid=0,538,false,,7821,2020,Governor,0,,11/3/20,general,false,false,LIB,Bishop,16066,Lyman Bishop,3.0
72770,1522,Swayable,"","",Swayable,543,Swayable,C,Online,North Carolina,10/27/20,11/2/20,,"",,136574,655,lv,,lv,,11/2/20 22:15,"",https://www.swayable.com/polls/2020-11-02-large.html,538,false,,7824,2020,Governor,0,,11/3/20,general,false,false,DEM,Cooper,13404,Roy A. Cooper,54.7
72770,1522,Swayable,"","",Swayable,543,Swayable,C,Online,North Carolina,10/27/20,11/2/20,,"",,136574,655,lv,,lv,,11/2/20 22:15,"",https://www.swayable.com/polls/2020-11-02-large.html,538,false,,7824,2020,Governor,0,,11/3/20,general,false,false,REP,Forest,13406,Dan Forest,42.2
72770,1522,Swayable,"","",Swayable,543,Swayable,C,Online,North Carolina,10/27/20,11/2/20,,"",,136574,655,lv,,lv,,11/2/20 22:15,"",https://www.swayable.com/polls/2020-11-02-large.html,538,false,,7824,2020,Governor,0,,11/3/20,general,false,false,LIB,DiFiore,14555,Steven Joseph DiFiore,2.4
72770,1522,Swayable,"","",Swayable,543,Swayable,C,Online,North Carolina,10/27/20,11/2/20,,"",,136574,655,lv,,lv,,11/2/20 22:15,"",https://www.swayable.com/polls/2020-11-02-large.html,538,false,,7824,2020,Governor,0,,11/3/20,general,false,false,CON,Pisano,14556,Al Pisano,0.1
72787,1522,Swayable,"","",Swayable,543,Swayable,C,Online,Washington,10/23/20,11/1/20,,"",,136575,474,lv,,lv,,11/2/20 22:15,"",https://www.swayable.com/polls/2020-11-02-small.html,538,false,,8729,2020,Governor,0,,11/3/20,general,false,false,DEM,Inslee,13635,Jay Robert Inslee,59.1
72787,1522,Swayable,"","",Swayable,543,Swayable,C,Online,Washington,10/23/20,11/1/20,,"",,136575,474,lv,,lv,,11/2/20 22:15,"",https://www.swayable.com/polls/2020-11-02-small.html,538,false,,8729,2020,Governor,0,,11/3/20,general,false,false,REP,Culp,13639,Loren Culp,40.9
72635,165,Frederick Polls LLC,"1511,1512",COMPETE_ | AMM Political Strategies,Frederick Polls,108,Frederick Polls,B/C,Text,North Carolina,10/30/20,10/31/20,,"",,136305,676,lv,,lv,,11/2/20 09:53,"",https://competeeverywhere.com/2020/11/fresh-polling-shows-biden-poised-for-victory/,538,false,,7824,2020,Governor,0,,11/3/20,general,false,false,DEM,Cooper,13404,Roy A. Cooper,52.0
72635,165,Frederick Polls LLC,"1511,1512",COMPETE_ | AMM Political Strategies,Frederick Polls,108,Frederick Polls,B/C,Text,North Carolina,10/30/20,10/31/20,,"",,136305,676,lv,,lv,,11/2/20 09:53,"",https://competeeverywhere.com/2020/11/fresh-polling-shows-biden-poised-for-victory/,538,false,,7824,2020,Governor,0,,11/3/20,general,false,false,REP,Forest,13406,Dan Forest,45.0
