State,electoralvotes,whitenonHispanicPercent,BlackPercent,HispanicPercent,AsianPercent,AmericanIndianandAlaskaNativePercent,NativeHawaiianandOtherPacificIslanderPercent,evangelicalchristiansPercent,nonevanprotestant,mainlineprot,historicallyblackprotestant,CatholicPercent,MormonPercent,JewishPercent,nonreligiousPercent,Percenturban,Percentsuburban,Percentrural,medianhouseholdincome,medianage,Percentcollegedegree,Percentimmigrants,Percentvotebymail,costofvotingindex(2016),covidseverity(cases/1000people),"Latitude(centerofstate),degreesN","Longitude(centerofstate),degreesW",Voterturnout(VEPHighestOffice),TotalPopulation25+,VotingEligiblePopulation(VEP),Populationthatvoted,NonHispanicWhitePopulationwithCollege,NonHispanicWhitePopulationwithoutCollege,NonWhitePopulationwithCollege,NonWhitePopulationWithoutCollege,CollegeWhitePercentof25+Population,NonCollegeWhitePercentof25+Population,CollegeNonWhitePercentof25+Population,NonCollegeNonWhitePercentof25+Population,biden 2020,trump 2020,Clinton2016,Trump2016,Johnson2016,Obama2012,Romney2012,Obama2008,McCain2008,2018 house dem percent,2018 house GOp percent
Alabama,9,65.30,26.80,4.60,1.50,0.70,0.10,49.00,29.00,13.00,16.00,7.00,1.00,0.20,12.00,48.64,10.39,40.96,"48,486",39.30,24.90,3.50,43.00,0.62,26.98,33.008097,86.756826,0.588,"3,300,713","3,609,447","2,123,372","622,920","1,662,943","192,602","822,248",19,50,6,25,36.57,62.03,41.02,58.98,2.1,38.4,60.5,38.7,60.3,41.02255528,58.97744472
Alaska,3,65.30,3.70,7.30,6.50,15.60,1.40,22.00,15.00,12.00,3.00,16.00,5.00,0.50,31.00,40.16,21.56,33.98,"76,715",33.40,29.00,7.80,68.00,0.05,7.87,65.2008,151.4937,0.610,"478,951","522,679","318,608","117,370","202,851","24,207","134,523",25,42,5,28,42.77,52.83,46.69,53.31,5.9,40.8,54.8,37.9,59.4,46.69369132,53.30630868
Arizona,11,54.10,5.20,31.70,3.70,5.30,0.30,26.00,13.00,12.00,1.00,21.00,5.00,2.00,27.00,80.10,9.70,10.20,"56,213",38.00,28.90,13.40,83.00,0.54,19.28,33.368266,111.8643,0.549,"4,626,409","4,740,310","2,604,657","1,024,482","1,880,240","311,412","1,410,275",22,41,7,30,49.36,49.06,50.85,49.15,4.1,44.4,53.5,44.9,53.4,50.8547943,49.1452057
Arkansas,6,79.00,15.70,7.80,1.70,1.00,0.40,46.00,24.00,16.00,8.00,8.00,1.00,0.50,2.00,25.00,31.00,44.00,"45,726",36.00,22.60,4.80,50.00,0.51,21.70,35.201,93.8318,0.528,"1,990,448","2,140,097","1,130,635","368,889","1,168,259","76,944","376,356",19,59,4,19,34.78,62.4,36.00,64.00,2.6,36.9,60.6,38.9,58.7,36.00274698,63.99725302
California,55,36.50,6.50,39.40,15.50,1.60,0.50,20.00,12.00,10.00,2.00,28.00,1.00,2.00,27.00,88.08,5.56,6.36,"72,228",36.70,33.30,26.90,85.00,1.30,7.40,36.7783,119.4179,0.565,"26,304,241","25,104,844","14,181,595","4,858,354","6,411,297","3,802,116","11,232,474",18,24,14,43,63.48,34.32,66.84,33.16,3.4,60.2,37.1,60.9,36.9,66.84371897,33.15628103
Colorado,9,67.70,4.60,21.80,3.50,1.60,0.20,26.00,17.00,15.00,2.00,16.00,2.00,1.00,29.00,76.86,9.29,13.85,"68,811",36.90,40.10,9.80,80.00,1.46,56.10,39.5501,105.7821,0.700,"3,745,506","3,974,405","2,780,247","1,266,409","1,488,990","226,472","763,635",34,40,6,20,55.4,41.9,55.44,44.56,5.2,51.4,46.1,53.7,44.7,55.43625358,44.56374642
Connecticut,7,65.90,12.20,16.90,5.00,0.60,0.10,13.00,22.00,17.00,5.00,33.00,1.00,3.00,23.00,84.60,3.40,12.00,"76,106",40.60,38.90,14.30,55.00,0.34,14.97,41.6032,73.0877,0.637,"2,467,737","2,582,761","1,644,920","770,014","1,008,297","183,574","505,852",31,41,7,21,59.26,39.19,62.00,38.00,3,58.1,40.7,60.6,38.2,62.00193888,37.99806112
Delaware,3,68.20,22.50,9.50,4.00,0.50,0.10,15.00,31.00,21.00,10.00,22.00,1.00,3.00,23.00,62.00,22.00,16.00,"64,805",41.10,39.00,9.40,51.00,0.04,18.93,39.358946,75.55684,0.642,"662,547","691,720","443,814","151,856","297,610","53,213","159,868",23,45,8,24,58.74,39.77,47.36,35.55,3.3,58.6,40,61.9,36.9,64.45396995,35.54603005
DistrictofColumbia,3,37.50,46.00,11.30,4.50,0.60,0.10,14.00,27.00,15.00,12.00,19.00,1.00,4.00,24.00,100.00,0.00,0.00,"82,604",33.90,57.60,14.00,81.00,,20.23,38.9072,77.0369,0.604,"480,158","515,248","311,268","174,222","15,084","98,653","192,199",36,3,21,40,92.15,5.4,64.45,52.64,1.6,90.9,7.3,92.5,6.5,47.36354204,52.63645796
Florida,29,53.30,17.50,26.10,3.60,0.80,0.20,24.00,22.00,14.00,8.00,21.00,1.00,3.00,24.00,87.44,3.72,8.84,"53,267",42.20,29.20,19.40,67.00,0.41,30.27,27.6648,81.5158,0.645,"14,703,671","14,601,066","9,420,039","2,811,651","5,915,554","1,396,805","4,579,661",19,40,10,31,47.86,51.22,47.73,52.27,2.2,49.9,49,50.9,48.1,47.72815751,52.27184249
