poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,days before election,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct,error,Two party %,,Actual 2 party
56827,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR,Arizona,11/4/2018,11/5/2018,1,,,,91585,1217,lv,,lv,,https://drive.google.com/file/d/1DweH2M5vtRBruravV9LBks-ef5QgJK1b/view,538,FALSE,REP,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,45.3,0.02332686084,0.4886731392,51.2,0.512
56829,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,11/3/2018,11/5/2018,1,,,,91590,600,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,48.6,-0.01283801296,0.524838013,51.2,0.512
56798,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,11/2/2018,11/4/2018,2,,,,91539,600,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,47.3,0.007197438634,0.5048025614,51.2,0.512
56765,1293,OH Predictive Insights / MBQF,,,OH Predictive Insights,235,OH Predictive Insights,B/C,Live Phone,Arizona,11/2/2018,11/3/2018,3,,,,91458,631,lv,,lv,,http://createsend.com/t/i-9C28BF62A01126BA2540EF23F30FEDED,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,48,0.01715463918,0.4948453608,51.2,0.512
56750,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,11/1/2018,11/3/2018,3,,,,91433,600,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,45.6,0.02325401929,0.4887459807,51.2,0.512
56779,1102,Emerson College Polling Society,,,Emerson College,88,Emerson College,A-,IVR/Online,Arizona,11/1/2018,11/3/2018,3,,,,91492,758,lv,,lv,,https://www.emerson.edu/news-events/emerson-college-today/final-emerson-battleground-polls-finds-democratic-momentum-florida-nevada-south-dakota-arizona-republicans-poised-take-missouri-0,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,48.5,0.008365524403,0.5036344756,51.2,0.512
56801,1478,Research Co.,,,Research Co.,449,Research Co.,B-,Online,Arizona,11/1/2018,11/3/2018,3,,,,91545,450,rv,,rv,,https://researchco.ca/2018/11/05/midterms2018-2/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,45,0.006382022472,0.5056179775,51.2,0.512
56716,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,10/31/2018,11/2/2018,4,,,,91361,600,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,43.5,0.04223758099,0.469762419,51.2,0.512
56810,801,Gravis Marketing,,,Gravis Marketing,124,Gravis Marketing,B,Live Phone/Online,Arizona,10/24/2018,11/2/2018,4,,,,91551,1165,lv,,lv,,https://www.realclearpolitics.com/docs/Gravis_Arizona_November_2_2018.pdf,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,46,0.01737634409,0.4946236559,51.2,0.512
56685,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,10/30/2018,11/1/2018,5,,,,91300,600,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,41.7,0.0491809101,0.4628190899,51.2,0.512
56730,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR,Arizona,10/30/2018,11/1/2018,5,,,,91389,2166,lv,,lv,,https://drive.google.com/file/d/1oHHpZeg9PCRtMsMFReBfxiKAF1XYlbiD/view,538,FALSE,REP,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,49.8,-0.001931888545,0.5139318885,51.2,0.512
73024,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,10/26/2018,11/1/2018,5,,,,136957,1400,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,42,0.05046153846,0.4615384615,51.2,0.512
56649,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,10/29/2018,10/31/2018,6,,,,91237,600,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,41.5,0.05088888889,0.4611111111,51.2,0.512
73025,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,10/25/2018,10/31/2018,6,,,,136958,1400,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,43,0.03947252747,0.4725274725,51.2,0.512
56673,537,Vox Populi Polling,,,Vox Populi Polling,372,Vox Populi Polling,A/B,Online,Arizona,10/27/2018,10/30/2018,7,,,,91276,677,lv,,lv,,https://voxpoppolling.com/wp-content/uploads/2018/11/AZ-Statewide-Wave-2-Toplines-10.31.18.pdf,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,52,-0.008,0.52,51.2,0.512
56710,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Arizona,10/24/2018,10/30/2018,7,,,,91352,1400,lv,,lv,TRUE,https://www.alliancenrfpoll.com/,538,FALSE,,96,2018,U.S. Senate,0,Class I,11/6/2018,general,FALSE,FALSE,DEM,Sinema,12409,Kyrsten Sinema,42.7,0.0386075388,0.4733924612,51.2,0.512
